SN,No,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG380,SIG440,SIG675,SIG870,SIG1020,STD380,STD440,STD675,STD870,STD1020,0.38,0.44,0.675,0.87,1.02,WATER,,-0.967584026,-0.820980552,-0.393042588,-0.139262067,0.019802627,slope,intercept,alpha,beta
31487,43,3/25/13,20:14:53,10.017,-83.766,3308,723,39.06,1.287,0.996,20.2,99,831.61,625.03,774.36,563.19,881.44,0.006,0.004,0.003,0.005,0.002,0.388,0.262,0.256,0.166,0.205,Na  ,,-0.946749939,-1.339410775,-1.362577835,-1.795767491,-1.5847453,-0.64094268,-1.700820627,0.64094268,0.18253367
31487,44,3/25/13,20:15:09,10.017,-83.766,3308,723,39.12,1.288,0.996,20.2,99,971.75,683.25,839.96,588.91,915.99,0.131,0.057,0.077,0.043,0.043,0.266,0.192,0.193,0.131,0.175,Na  ,,-1.32425897,-1.650259907,-1.64506509,-2.032557956,-1.742969305,-0.45795805,-1.889780641,0.45795805,0.151104951
31487,45,3/25/13,20:15:24,10.017,-83.766,3308,723,39.19,1.289,0.996,20.2,99,1032.65,709.3,862.36,599.39,936.57,0.005,0.003,0.003,0.004,0.004,0.219,0.163,0.172,0.117,0.158,Na  ,,-1.518683549,-1.814005078,-1.760260802,-2.145581344,-1.845160246,-0.368844563,-1.986485385,0.368844563,0.137176702
31487,46,3/25/13,20:15:38,10.017,-83.766,3308,723,39.24,1.29,0.996,20.2,99,990.69,694.81,831.98,588.72,917.98,0.006,0.003,0.007,0.003,0.005,0.25,0.179,0.2,0.131,0.173,Na  ,,-1.386294361,-1.720369473,-1.609437912,-2.032557956,-1.754463684,-0.38401913,-1.877355397,0.38401913,0.15299418
31487,47,3/25/13,20:15:53,10.017,-83.766,3308,723,39.3,1.291,0.996,20.2,99,868.18,643.34,787.03,571.08,892.91,0.083,0.054,0.018,0.009,0.009,0.352,0.238,0.242,0.155,0.195,Na  ,,-1.044124103,-1.435484605,-1.418817553,-1.864330162,-1.63475572,-0.593698512,-1.752730393,0.593698512,0.173300119
31487,48,3/25/13,20:16:09,10.017,-83.766,3308,723,39.37,1.292,0.996,20.2,99,716.87,539.48,845.74,585.12,921.92,0.093,0.061,0.019,0.008,0.007,0.5,0.374,0.186,0.136,0.17,Na  ,,-0.693147181,-0.983499482,-1.682008605,-1.995100393,-1.771956842,-1.236890166,-1.994375832,1.236890166,0.136098576
31487,49,3/25/13,20:16:24,10.017,-83.766,3308,723,39.43,1.293,0.996,20.2,99,832.03,594.74,866.54,592.58,928.81,0.027,0.019,0.007,0.006,0.004,0.384,0.298,0.168,0.126,0.164,Na  ,,-0.957112726,-1.210661792,-1.7837913,-2.071473372,-1.807888851,-1.006316912,-2.029306056,1.006316912,0.131426692
31487,50,3/25/13,20:16:39,10.017,-83.766,3308,723,39.49,1.295,0.996,20.3,99,492.73,425.64,777.02,565.14,903.55,0.02,0.015,0.006,0.006,0.004,0.788,0.556,0.252,0.162,0.185,Na  ,,-0.238257189,-0.586986985,-1.378326191,-1.820158944,-1.687399454,-1.590723574,-1.874297932,1.590723574,0.15346267
31487,51,3/25/13,20:16:53,10.017,-83.766,3308,723,39.55,1.296,0.996,20.3,99,828.67,598.68,847.55,588.18,925.14,0.018,0.013,0.005,0.003,0.004,0.386,0.292,0.184,0.131,0.167,Na  ,,-0.95191791,-1.231001477,-1.692819521,-2.032557956,-1.789761467,-0.962204492,-1.982430991,0.962204492,0.137734
31487,52,3/25/13,20:17:09,10.017,-83.766,3308,723,39.61,1.297,0.996,20.3,99,235.81,262.3,642.43,511.11,836.66,0.073,0.043,0.011,0.006,0.006,1.354,0.928,0.398,0.239,0.244,Na  ,,0.303063174,-0.074723546,-0.921303274,-1.431291727,-1.410587054,-1.826525199,-1.547559713,1.826525199,0.212766552
